Index,SMILES
69,CC1CCCCN1C(=O)c1cc2nc(-c3ccc(Cl)c(Cl)c3)cc(C(F)(F)F)n2n1
70,Cc1cc(OCCO)ccc1NC(=O)c1cc2ccccc2oc1=O
71,Cc1nc2ccc3nc(NC(=O)c4ccc5ncsc5c4)sc3c2s1
72,CCc1cnccc1NC(=O)c1ccc(-c2ccc(C(C)=O)cc2)o1
73,COc1cc(=O)c(C(=O)NCc2ccco2)nn1-c1ccc(C)cc1
74,CCOc1cccc2cc(C(=O)Nc3ccc(CC)cc3)c(=O)oc12
75,C=CCOc1ccc(C=C2SC(=Nc3ccc(F)cc3)N=C2O)cc1
76,C=CCOc1ccc(/C=C2\S/C(=N/c3ccc(Br)cc3)N=C2O)cc1
77,CC(C)(CNC(=O)c1cc(-c2ccco2)nc2ccccc12)C(N)=O
78,Oc1nnc(-c2ccco2)c2c1Nc1nnnn1C2c1ccccc1
79,COCCn1c(C)cc(/C=C(/C#N)c2nc3cc(C)ccc3[nH]2)c1C
80,O=C(Nc1nc2c(s1)COc1ccccc1-2)c1ccc2ncsc2c1
81,Clc1ccccc1-n1c(-c2ccco2)nc2nc3ccccc3nc21
82,CCOC(=O)c1cc(-c2ccc(OC(F)F)cc2)nc2ccccc12
83,COc1nc(N)c2c(c1C#N)NC1=C(C(=O)CC(C)(C)C1)C2c1ccc(Cl)c(Cl)c1
84,COc1ccc(OC)c(-c2csc(NC(=O)c3nn(C)cc3I)n2)c1
85,Cc1nc2ccccn2c1-c1nnc2sc(-c3ccc(Br)cc3)nn12
86,CCCCc1ccc(-c2cc(C(=O)O)c3ccc(Cl)c(C)c3n2)cc1
87,CCOc1cccc(C(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1
88,CCc1cc2c(=O)c(-c3nc(C)cs3)coc2cc1OCC(=O)OC
89,O=C(O)CCn1c(C=Cc2cccc(F)c2)nc2ccccc2c1=O
90,Cc1cc(N/N=C/C=C/c2ccc(N(C)C)cc2)c2ccccc2n1
91,C1(C2=CC(OCCO3)=C3C=C2)=CSC(C4=CC5=C(OCCO5)C=C4)=N1
92,COc1cccc(C2=NC(=Cc3ccc(OC)cc3OC)C(=O)O2)c1
93,O=C1NC(=O)C(=Cc2ccccc2OCc2ccc([N+](=O)[O-])cc2)S1
94,Cc1ccc(C2=NC(=Cc3ccccc3OCC(=O)O)C(=O)O2)cc1
95,CCC(C(=O)Nc1sc2c(c1C(N)=O)CCCCC2)c1ccccc1
96,Oc1nnc(-c2cccs2)c2c1Nc1nnnn1C2c1ccccc1
97,CC1(C)CC(=O)c2cc(OCC(=O)NCc3ccccc3)ccc2O1
98,O=C(NC12CCCN(CC1)C2)c1cc2ccccc2c2cccnc12
99,COC(=O)C=Cc1cn(-c2ccccc2)nc1-c1ccc(OC)cc1
100,N#CCCCOC(=O)c1cc(-c2ccc(Cl)cc2)nc2ccccc12
101,CCOc1ccc(C(=O)Nc2sc3c(c2C(=O)NC)CCCC3)cc1
102,COc1ccc2c(COc3ccc(C)nc3[N+](=O)[O-])cc(=O)oc2c1
103,CCOC(=O)c1nnc(-c2ccccc2)nc1N(C)c1ccccc1
104,"CCOC(=O)C1=NN=C(N=C1N(C)C1=CC=CC=C1)C1=CC=CC=C1 |c:7,9,16,18,23,25,t:5,14,21|"
105,COc1ccc(C(=O)COc2ccc3c(C)c(Cl)c(=O)oc3c2)cc1
106,CCOc1ccc(-c2ccnc(N3CCC(O)CC3)n2)cc1C(=O)O
107,COc1ccc(/C=C2/S/C(=N\Nc3ccccc3)NC2=O)cc1OC
108,CN(CC(=O)Nc1cc(F)ccc1NC(=O)OC(C)(C)C)c1ccc(C#N)cc1F
109,Cc1nc2sc(-c3ccccc3)cc2c2nnc(-c3ccccc3)n12
110,CCCC(=O)Nc1nc(-c2ccccc2)cc(-c2ccc(Cl)cc2)n1
111,C12=NC=CN=C1C=C(C3=NN=C(C4=C(C=CC=C5)C5=CC=C4)O3)C=C2
112,NC(=O)COc1ccc(/C=C2/C(=O)NN(c3ccccc3)C2=O)cc1
113,COc1ccc(OC)c(/C=N/n2c(-c3ccc(C)cc3)n[nH]c2=S)c1
114,CCN(CC)C(=O)COc1cc2oc(=O)c3c(c2cc1Cl)CCCC3
115,COc1cc(C=C(C#N)c2nc3ccccc3s2)cc(OC)c1OC
116,CCOC(=O)Cn1c(=O)nc(N)c2c(-c3ccc(OC)cc3)csc21
117,Cn1c(-c2ccc3c(c2)OCO3)cn2cc(-c3cccc(Br)c3)nc12
118,Cc1ccccc1-c1ccc(C(=O)Nc2ccc(CC(=O)O)cc2)o1
119,COC(=O)c1c(SC)nc2ccccc2c1OCc1cccc(C)c1
120,CCC1CCc2c(sc3ncn4nc(-c5cc(C)n(C)n5)nc4c23)C1
121,CCN(CC(=O)NC(C)C)C(=O)c1ccc2[nH]c3c(c2c1)CCCC3
122,COC(=O)c1cc2oc(C(=O)Nc3ccc(CN)cc3OC)cc2[nH]1
123,CCn1cc(/C(C)=N/NC(=O)c2ccc(-c3ccc(F)cc3)s2)cn1
124,COc1cc(-c2nc(S)c(-c3ccc(F)cc3)[nH]2)cc(OC)c1OC
125,CCOC(=O)c1c(NC(=O)c2ccco2)sc(C)c1-c1ccccc1
126,COc1ccc(CCNC(=O)c2cnc3cc(C)ccn3c2=O)cc1
127,Cc1nn(C)c2nc(-c3cccs3)cc(C(=O)N(C)CCC(=O)O)c12
128,COc1cc(/C=C/c2ccc3cccc(OC)c3n2)cc(I)c1OC
